Event Time,Log Time,Fgrid,Vinv1_rms,Vinv2_rms,Vgrid1_rms,Vgrid2_rms,Iinv1_rms,Iinv2_rms,Igrid1_rms,Igrid2_rms,Pinv1,Pinv2,Pgrid1,Pgrid2,Iinv1_dc,I_gf_inv,Einv1_exp,Einv1_imp,Einv2_exp,Einv2_imp,Egrid1_exp,Egrid1_imp,Egrid2_exp,Egrid2_imp,Pload1,Pload2,Vpv1,Ipv1,Vpv2,Ipv2,Vpv3,Ipv3,P_pv,Epv,Vbat,Ibat,P_bt,Ebat_chg,Ebat_dischg,Vbus_c1,Vbus_c2,Vbus,Pv_t,Amb_t,Batt_t,Inv_t,Cm4_t,Trips_1,Trips_2,Alerts_1,Alerts_2,Control_status,Jet_signals,Masking_functions,Dsp_sm_1,Dsp_sm_2,Dsp_sm_3,Hw_faults1,Hw_faults2,Sisw_feedback_1,Sisw_feedback_2,Sisw_alerts_1,Sisw_alerts_2,Dsp_ut,Sisw_ut
13/01/2025 13:43,13/01/2025 13:43,49.98,103.4,103.5,102.6,103.3,3.2,3.4,3.5,3.1,332,337,-316,301,0,0,11896,8376,11996,8219,1049,61662,1881,60026,648,36,131.5,1.7,146.7,2.4,52.1,0,592,8964,161,0.7,122,18392,18295,187.4,183.2,374.2,14.9,20.9,9.5,10.5,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3793,39404
13/01/2025 13:43,13/01/2025 13:43,49.98,103.4,103.5,102.6,103.1,3.3,3.4,3.5,3.1,338,343,-309,307,0,0,11896,8376,11996,8219,1049,61662,1881,60026,647,36,132.9,1.7,146,2.4,52.2,0,587,8964,160.8,0.8,137,18392,18295,187.4,183.2,374.3,14.3,20.9,9.6,10.6,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3794,39405
13/01/2025 13:43,13/01/2025 13:43,49.99,103.4,103.5,102.6,103.3,3.3,3.4,3.5,3.1,338,343,-308,308,0,0,11896,8376,11996,8219,1049,61662,1881,60026,646,35,131.5,1.7,148.4,2.3,52.2,0,587,8965,160.8,0.8,139,18392,18295,187.3,183.1,374.3,14.8,20.9,9.6,10.6,42.8,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3795,39406
13/01/2025 13:43,13/01/2025 13:43,49.99,103.4,103.5,102.6,103.3,3.3,3.4,3.5,3.1,339,344,-308,308,0,0,11896,8376,11996,8219,1049,61662,1881,60026,647,36,130.4,1.7,148.3,2.3,52.2,0,586,8965,160.6,0.8,138,18392,18295,187,182.8,373.6,14,20.9,9.6,10.6,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3796,39407
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.5,102.6,103.3,3.6,3.7,3.8,3.5,373,377,-342,342,0,0,11896,8376,11997,8219,1049,61662,1881,60026,715,35,131.8,1.7,149.4,2.3,52.5,0,590,8965,160.6,1.2,200,18392,18295,187,182.8,373.3,14.5,20.9,9.6,10.6,43.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3796,39408
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.5,102.5,103.4,3.8,4,4,3.7,396,401,-366,366,0,0.01,11896,8376,11997,8219,1049,61662,1881,60026,762,35,132.3,1.7,146.5,2.4,52.5,0,588,8965,160.6,1.6,254,18392,18295,187,182.9,373.5,14.9,20.9,9.6,10.7,41.8,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3798,39409
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.4,102.5,103.2,3.8,4,4,3.1,395,400,-365,318,0,0,11896,8376,11997,8219,1049,61662,1881,60026,760,82,130.1,1.7,142.4,2.5,52.5,0,591,8965,160.4,1.5,250,18392,18295,186.7,182.6,373,14.3,20.9,9.6,10.8,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3799,39410
13/01/2025 13:43,13/01/2025 13:43,49.99,103.3,103.4,102.5,103.3,3.8,4,3.9,3.6,399,403,-361,361,0,0,11896,8376,11997,8219,1049,61662,1881,60026,760,42,128.6,1.7,144.5,2.4,52.5,0,588,8965,160.5,1.6,257,18392,18296,186.7,182.6,373,13.8,20.9,9.7,10.8,42.3,1,1,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3800,39411
13/01/2025 13:43,13/01/2025 13:43,49.99,103.3,103.4,102.5,103.2,3.6,3.7,3.6,3.3,370,375,-321,320,0,0.01,11896,8376,11997,8219,1049,61663,1882,60026,691,55,131.1,1.7,143.9,2.4,52.5,0,588,8966,160.5,1.2,202,18392,18296,187.4,183.2,374.2,14.7,20.9,9.6,10.8,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3800,39412
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.5,102.6,103.2,3.5,3.6,3.3,3.1,365,370,-280,310,0,0.01,11897,8376,11997,8219,1049,61663,1882,60026,645,60,130.1,1.7,142.6,2.5,52.6,0,593,8966,160.8,1.1,178,18392,18296,187,182.8,373.3,15,20.9,9.6,10.8,41.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3801,39413
13/01/2025 13:43,13/01/2025 13:43,50,103.3,103.5,102.7,103.2,2.9,3,2.8,2.4,293,298,-228,230,0,0.01,11897,8376,11997,8219,1049,61663,1882,60026,521,68,130.6,1.7,144,2.4,52.3,0,585,8966,160.8,0.3,50,18392,18296,186,181.8,373.2,14.7,20.9,9.6,10.7,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3802,39414
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.5,102.7,103.1,2.9,3.1,2.6,2.3,304,308,-212,218,0,0.01,11897,8376,11997,8219,1049,61663,1882,60026,516,90,132.3,1.7,146.1,2.4,52.6,0,586,8966,160.9,0.4,70,18392,18296,187,182.8,373.5,14.3,20.9,9.5,10.6,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3804,39415
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.5,102.8,103.2,3.2,3.4,2.8,2.6,335,340,-226,239,0,0,11897,8376,11997,8219,1049,61663,1882,60026,561,101,134,1.7,146,2.4,52.5,0,592,8966,160.6,0.8,128,18392,18296,187.2,183,373.9,12.8,20.9,9.5,10.7,42.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3805,39416
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.6,103,103.2,3,3.2,2.7,2.4,310,314,-217,214,0,0.01,11897,8376,11998,8219,1049,61663,1882,60026,527,100,129.5,1.7,146.3,2.4,52.5,0,589,8966,160.5,0.5,79,18392,18296,187,182.8,373.6,14.9,20.9,9.6,10.6,41.3,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3805,39417
13/01/2025 13:43,13/01/2025 13:43,50,103.4,103.5,102.8,103,3,3.2,2.7,2.3,306,311,-214,211,0,0,11897,8376,11998,8219,1049,61663,1882,60026,520,100,129,1.7,145.5,2.4,52.5,0,589,8967,160.6,0.4,72,18392,18296,187.3,183.1,374.2,14.4,20.9,9.5,10.7,42.8,0,0,0,16,3091,0,0,442,195,4122,0,0,0,0,0,0,3806,39418
